Date,Close
4/18/2023 16:00:00,95.49
4/19/2023 16:00:00,93.49
4/20/2023 16:00:00,90.74
4/21/2023 16:00:00,89.13
4/24/2023 16:00:00,86.89
4/25/2023 16:00:00,82.92
4/26/2023 16:00:00,82.82
4/27/2023 16:00:00,84.47
4/28/2023 16:00:00,84.69
5/1/2023 16:00:00,84.16
5/2/2023 16:00:00,81.53
5/3/2023 16:00:00,81.48
5/4/2023 16:00:00,82.49
5/5/2023 16:00:00,83.22
5/8/2023 16:00:00,83.31
5/9/2023 16:00:00,82.22
5/10/2023 16:00:00,82.95
5/11/2023 16:00:00,87.89
5/12/2023 16:00:00,85.34
5/15/2023 16:00:00,88.34
5/16/2023 16:00:00,88.76
5/17/2023 16:00:00,90.68
5/18/2023 16:00:00,85.77
5/19/2023 16:00:00,83.98
5/22/2023 16:00:00,86.1
5/23/2023 16:00:00,82.88
5/24/2023 16:00:00,81.21
5/25/2023 16:00:00,78.78
5/26/2023 16:00:00,80.97
5/30/2023 16:00:00,78.67
5/31/2023 16:00:00,79.55
6/1/2023 16:00:00,83
6/2/2023 16:00:00,84.27
6/5/2023 16:00:00,84.4
6/6/2023 16:00:00,86.7
6/7/2023 16:00:00,85.28
6/8/2023 16:00:00,86.14
6/9/2023 16:00:00,85.5
6/12/2023 16:00:00,85.86
6/13/2023 16:00:00,87.51
6/14/2023 16:00:00,89.36
6/15/2023 16:00:00,92.2
6/16/2023 16:00:00,92.1
6/20/2023 16:00:00,87.93
6/21/2023 16:00:00,86.77
6/22/2023 16:00:00,86.89
6/23/2023 16:00:00,84.92
6/26/2023 16:00:00,85.47
6/27/2023 16:00:00,87.13
6/28/2023 16:00:00,84.59
6/29/2023 16:00:00,83.55
6/30/2023 16:00:00,83.35
7/3/2023 13:00:00,84.07
7/5/2023 16:00:00,84.3
7/6/2023 16:00:00,83.84
7/7/2023 16:00:00,90.55
7/10/2023 16:00:00,90.56
7/11/2023 16:00:00,91.79
7/12/2023 16:00:00,94
7/13/2023 16:00:00,96.61
7/14/2023 16:00:00,94.56
7/17/2023 16:00:00,93.41
7/18/2023 16:00:00,91.2
7/19/2023 16:00:00,92.09
7/20/2023 16:00:00,91.9
7/21/2023 16:00:00,92.17
7/24/2023 16:00:00,96.35
7/25/2023 16:00:00,94.98
7/26/2023 16:00:00,97.14
7/27/2023 16:00:00,95.44
7/28/2023 16:00:00,100.55
7/31/2023 16:00:00,102.16
8/1/2023 16:00:00,100.1
8/2/2023 16:00:00,95.07
8/3/2023 16:00:00,97.58
8/4/2023 16:00:00,96.9
8/7/2023 16:00:00,96.56
8/8/2023 16:00:00,94.22
8/9/2023 16:00:00,94.85
8/10/2023 16:00:00,99.21
8/11/2023 16:00:00,95.72
8/14/2023 16:00:00,93.46
8/15/2023 16:00:00,91.59
8/16/2023 16:00:00,89.12
8/17/2023 16:00:00,90.65
8/18/2023 16:00:00,88.03
8/21/2023 16:00:00,88.57
8/22/2023 16:00:00,88.08
8/23/2023 16:00:00,89.84
8/24/2023 16:00:00,89.11
8/25/2023 16:00:00,89.82
8/28/2023 16:00:00,92.24
8/29/2023 16:00:00,94.03
8/30/2023 16:00:00,93.65
8/31/2023 16:00:00,92.9
9/1/2023 16:00:00,95.01
9/5/2023 16:00:00,94.65
9/6/2023 16:00:00,94.45
9/7/2023 16:00:00,89.97
9/8/2023 16:00:00,90.05
9/11/2023 16:00:00,88.71
9/12/2023 16:00:00,88.3
9/13/2023 16:00:00,87.64
9/14/2023 16:00:00,88
